"Name","Code","Row ID","Stage Name","Stage Category","Action","Action Type","Attendance - Use Shift Block","Assignee","Assignee Employee","Use Decision Matrix","Decision Matrix","Reviewers","SLA for Reviewer Task","SLA for Evaluation Task","Visibility","Confidential","Sla Setting","Skip for","Skip Settings","Trigger Point","Trigger Before/After","Trigger - Number of Days(Default will be 0)","Trigger - Enter Condition","Set Delay (Number of Days)","Send to Personal Email","Send to Primary Mobile","Notification With Review/Invite - CC Recipients","Notification With Review/Invite - CC Roles","Policy - Mandatory Sign-off","Select Existing Document","Policy - Include option to decline","Help Desk Title","Help Desk Description","Select Helpdesk Category","Select Helpdesk Sub- Category","Data Collection - Enable Review","Schedule Assessment - Select Mode (Automatic/ Manual)","Schedule Assessment - Evaluation Type","Schedule Assessment - Cut-off Percentage","Schedule Assessment - No.of Days to expire","Select Attendance Attributes ","Schedule Assessment - Select Evaluators","Send Recognition - Recognition Program","Allow assignee to skip the task","Allow assignee to skip the Review Task","Data Collection - Select Reviewers","Data Collection - Reviewer Context","Notification with calendar invite - Event Name","Email when policy signoff is declined - CC Roles Declined","Email when policy signoff is declined - CC Users Declined","Extra Payments/Extra Deductions - Allowed Categories(Regular)","Extra Payments/Extra Deductions - Allowed Categories(Component based)","Extra Payments/Extra Deductions - Logic for value","Extra Payments/Extra Deductions - Logic for clawback date","Engagement Flow -Trigger Survey -  Select Channel(Email/Task)","Trigger Verification - Select Verification Initiator","Alloted Time","Assignee Context","Assignment Basis","Email when task is assigned - Select Email Template","Email when the due date is completed - Select Email Template","Email when workflow stage is canceled/skipped - Select Email Template","Email when policy signoff is declined - Select Email Template","Email when task is submitted for review - Select Email Template","Email when Reviewer sends back the form - Select Email Template","When Assessment is scheduled - Select Email Template","When evaluation result is received - Select Email Template","When Verification is Triggered - Select Email Template","When workflow stage is completed - Select Email Template","Email when task is assigned - Additional Recipients","Email when the due date is completed - Additional Recipients","Email when workflow stage is canceled/skipped - Additional Recipients","Email when policy signoff is declined - Additional Recipients","Email when task is submitted for review - Additional Recipients","Email when Reviewer sends back the form - Additional Recipients","When Assessment is scheduled - Additional Recipients","When evaluation result is received - Additional Recipients","When Verification is Triggered - Additional Recipients","When workflow stage is completed - Additional Recipients","Email when task is assigned - Default Email Recipients","Email when the due date is completed - Default Email Recipients","Email when workflow stage is canceled/skipped - Default Email Recipients","Email condition when policy signoff is declined - Default Email Recipients","Email when task is submitted for review - Default Email Recipients","Email when Reviewer sends back the form - Default Email Recipients","When Assessment is scheduled - Default Email Recipients","When evaluation result is received - Default Email Recipients","When Verification is Triggered - Default Email Recipients","When workflow stage is completed - Default Email Recipients","Email when task is assigned - CC Recipient Roles","Email when task is assigned - CC Recipient Users","Email when workflow stage is canceled/skipped - CC Recipient Roles","Email when workflow stage is canceled/skipped - CC Recipient Users","Email when the due date is completed - CC Recipient Roles","Email when the due date is completed - CC Recipient Users","Email when task is submitted for review - CC Recipient Roles","Email when task is submitted for review - CC Recipient Users","Email when Reviewer sends back the form - CC Recipient Roles","Email when Reviewer sends back the form - CC Recipient Users","When workflow stage is completed - CC Recepient Users","When workflow stage is completed - CC Recepient Roles","Cancel button alias","Skip button alias","Add button alias","Schedule button alias","Send Back button alias","Delegate button alias","View Details button alias","Submit button alias","Decline button alias","Sign off button alias","Initiate button alias","Successful button alias","Unsuccessful button alias","Submit and Send Email button alias","Reschedule button alias","Save As Draft button alias","Update button alias","Submit For Review button alias","Status"
"Onboarding Document Collection","WF_10","","Self","Workflow Task","","Data Collection - Forms","","Self","","","","","","","Self|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Onboarding","WF_11","","Self","Workflow Task","","Data Collection - Forms","","Self","","","","","","","Self|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","CUST_NOTF_11","","","","","","","","","","Self","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Onboarding","WF_11","","IT Team","Workflow Task","","Data Collection - Forms","","","","","","","","","Self|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Compensation Workflow","WF_12","","HR Team","Workflow Task","Dropdown","Data Collection - Forms","","","","","","","","","","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Compensation Workflow","WF_12","","Intimation to employee","Workflow Task","CUST_NOTF_9","Document Generation","","Self","","","","","","","","","","","","Evaluation of Condition","After","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"DUMMY","WF_13","","Change","Workflow Task","DUMMY 1","Data Collection - Forms","","Self","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Contract Ending","WF_14","","Intimation","Workflow Task","Dropdown","Data Collection - Forms","","Employee direct HRBP","","","","","","","Admin|HR Team","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Declaration","WF_15","R1","Declaration","Workflow Task","Declaration","Data Collection - Forms","","Self","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"NDA","WF_16","","NDA","Workflow Task","CUST_NOTF_10","Document Generation","","Self","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"NDA","WF_17","","NDA","Workflow Task","CUST_NOTF_10","Document Generation","","Self","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"NDA","WF_17","","NDA","Workflow Task","NDA","Data Collection - Forms","","Self","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Onboarding","WF_18","","Self","Workflow Task","","Data Collection - Forms","","Self","","","","","","","Self|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","CUST_NOTF_11","","","","","","","","","","Self","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Onboarding","WF_18","","IT Team","Workflow Task","","Data Collection - Forms","","","","","","","","","Self|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"NDA","WF_19","R1","NDA","Workflow Task","CUST_NOTF_10","Document Generation","","Self","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"NDA","WF_19","R2","NDA","Workflow Task","NDA1695966778713","Data Collection - Forms","","Self","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"Absconding","WF_20","","Email Notification","Workflow Task","CUST_NOTF_13","Notification","","","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Onboarding","WF_21","","Self","Workflow Task","","Data Collection - Forms","","Self","","","","","","","Self|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","CUST_NOTF_11","","","","","","","","","","Self","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Onboarding","WF_21","","IT Team","Workflow Task","IT Asset","Data Collection - Forms","","","","","","","","","Self|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Absconding","WF_22","R1","Email Notification","Workflow Task","CUST_NOTF_13","Notification","","Self","","","","","","","","","","","","Trigger Date","After","","","","1","","","Employee direct HRBP|HR Team","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"Asset Assignment","WF_23","","IT Asset Assignment","Workflow Task","","Data Collection - Forms","","","","","","","","","Manager|Admin","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_23","","Employee acknowlegement","Workflow Task","Multi Select Dropdown","Data Collection - Forms","","Self","","","","","","","Manager|Admin","","","","","Evaluation of Condition","After","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_24","","IT Asset Assignment","Workflow Task","","Data Collection - Forms","","","","","","","","","Manager|Admin","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_24","","Employee acknowlegement","Workflow Task","IT Asset1696861164127","Data Collection - Forms","","Self","","","","","","","Manager|Admin","","","","","Evaluation of Condition","After","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Designation Change","WF_25","","Email","Workflow Task","CUST_NOTF_14","Document Generation","","Self","","","","","","","","","","","","Effective Date","After","","","","","","","Employee direct HRBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Business Card","WF_26","","Admin","Workflow Task","Dropdown","Data Collection - Forms","","","","","","","","","","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Contract Extension","WF_27","","HR Team","Workflow Task","CUST_CE","Data Collection - Forms","","","","","","","","","","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Contract Extension","WF_27","","Intimation","Workflow Task","CUST_NOTF_17","Notification","","Manager|Employee direct HRBP","","","","","","","","","","","","Evaluation of Condition","After","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Designation Change","WF_28","","Email","Workflow Task","CUST_NOTF_14","Document Generation","","Self","","","","","","","","","","","","Effective Date","After","","","","","","","Employee direct HRBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Business Card","WF_29","R1","Admin","Workflow Task","Dropdown","Data Collection - Forms","","Administration","","","","","","","","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"Business Card","WF_29","R2","Employee","Workflow Task","Dropdown","Data Collection - Forms","","Self","","","","","","","","","","","","Evaluation of Condition","After","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"New Certification","WF_30","","Email","Workflow Task","CUST_NOTF_18","Notification","","","","","","","","","","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Certifcation Completion ","WF_31","","Email","Workflow Task","CUST_NOTF_19","Notification","","","","","","","","","","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Onboarding ","WF_32","R1","Self","Workflow Task","OB_MD16917185249921696333755739169633582729417028450469521705661236338","Data Collection - Forms","","Self","","","","HR Team","","","Self|Admin|HR Team","","","","","Trigger Date","After","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","CUST_NOTF_11","","","","","","","","","","Self","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"Onboarding ","WF_32","R2","IT Team","Workflow Task","IT Asset","Data Collection - Forms","","IT Admin","","","","","","","Self|Admin|HR Team","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"Designation Change","WF_33","","Email","Workflow Task","CUST_NOTF_14","Document Generation","","Self","","","","","","","","","","","","Effective Date","After","","","","","","","Employee direct HRBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Designation Change","WF_33","","Intimation","Workflow Task","CUST_NOTF_20","Notification","","Manager|Employee direct HRBP","","","","","","","","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Manager Change ","WF_34","","Intimation to Employee","Workflow Task","CUST_NOTF_22","Notification","","Self","","","","","","","","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Manager Change ","WF_34","","Intimation to other stakeholders","Workflow Task","CUST_NOTF_21","Notification","","Manager","","","","","","","","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Target","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Location Change","WF_35","","Intimation to Employee","Workflow Task","CUST_NOTF_23","Notification","","Self","","","","","","","","","","","","Effective Date","Before","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Location Change","WF_35","","Intimation to Employee","Workflow Task","CUST_NOTF_15","Notification","","Manager|Employee direct HRBP","","","","","","","","","","","","Effective Date","Before","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
